iter	Passed	Remaining
148	60077	947940
149	60487	947634
150	60892	947265
151	61289	946762
152	61716	946718
153	62111	946192
154	62520	945869
155	62918	945387
156	63297	944625
157	63716	944461
158	64136	944306
159	64532	943785
160	64938	943422
161	65359	943279
162	65766	942919
163	66199	942940
164	66623	942820
165	67026	942401
166	67440	942149
167	67852	941857
168	68266	941591
169	68661	941061
170	69051	940478
171	69467	940231
172	69899	940212
173	70307	939863
174	70724	939631
175	71118	939082
176	71503	938434
177	71929	938311
178	72363	938297
179	72763	937834
180	73174	937524
181	73579	937127
182	74003	936976
183	74437	936938
184	74854	936697
185	75259	936291
186	75657	935810
187	76042	935162
188	76470	935043
189	76902	934971
190	77322	934753
191	77733	934420
192	78130	933920
193	78533	933498
194	78945	933178
195	79367	932971
196	79781	932671
197	80195	932378
198	80607	932054
199	81044	932012
200	81459	931720
201	81889	931593
202	82329	931582
203	82713	930936
204	83109	930422
205	83502	929875
206	83918	929589
207	84335	929317
208	84733	928827
209	85165	928704
210	85576	928366
211	85942	927526
212	86328	926911
213	86702	926181
214	87110	925805
215	87513	925373
216	87923	925024
217	88313	924456
218	88729	924162
219	89125	923665
220	89520	923151
221	89913	922621
222	90331	922358
223	90711	921696
224	91100	921123
225	91502	920688
226	91911	920332
227	92321	919973
228	92692	919238
229	93099	918853
230	93508	918486
231	93944	918386
232	94318	917685
233	94700	917054
234	95089	916500
235	95501	916167
236	95885	915564
237	96292	915185
238	96714	914939
239	97098	914339
240	97498	913895
241	97871	913198
242	98297	912989
243	98707	912638
244	99108	912201
245	99514	911814
246	99915	911373
247	100325	911023
248	100709	910429
249	101109	909987
250	101508	909533
251	101960	909552
252	102372	909214
253	102768	908732
254	103170	908300
255	103541	907602
256	103942	907169
257	104332	906641
258	104776	906575
259	105171	906096
260	105580	905729
261	105981	905292
262	106359	904665
263	106744	904093
264	107129	903525
265	107516	902976
266	107929	902643
267	108319	902122
268	108719	901687
269	109123	901279
270	109528	900878
271	109945	900583
272	110355	900227
273	110778	899972
274	111187	899608
275	111628	899500
276	112046	899201
277	112430	898635
278	112820	898112
279	113229	897750
280	113620	897238
281	114010	896722
282	114391	896135
283	114763	895478
284	115149	894932
285	115559	894576
286	115957	894126
287	116346	893604
288	116729	893039
289	117157	892820
290	117565	892447
291	117962	891990
292	118366	891585
293	118761	891114
294	119164	890701
295	119577	890369
296	120001	890113
297	120383	889548
298	120774	889044
299	121152	888451
300	121524	887812
301	121926	887399
302	122350	887138
303	122758	886766
304	123167	886402
305	123566	885960
306	123957	885469
307	124337	884897
308	124719	884339
309	125103	883797
310	125532	883570
311	125940	883200
312	126362	882922
313	126760	882476
314	127163	882072
315	127561	881626
316	127955	881154
317	128344	880656
318	128740	880200
319	129130	879698
320	129520	879207
321	129917	878755
322	130317	878330
323	130743	878081
324	131131	877575
325	131515	877036
326	131900	876515
327	132325	876254
328	132726	875830
329	133147	875546
330	133532	875019
331	133918	874502
332	134327	874137
333	134752	873875
334	135127	873287
335	135537	872925
336	135933	872473
337	136355	872194
338	136772	871876
339	137206	871662
340	137578	871061
341	137959	870515
342	138348	870025
343	138762	869685
344	139166	869287
345	139563	868841
346	139975	868493
347	140359	867973
348	140778	867664
349	141197	867358
350	141600	866949
351	141984	866428
352	142365	865890
353	142786	865589
354	143193	865209
355	143606	864864
356	144003	864424
357	144405	864014
358	144825	863708
359	145216	863231
360	145618	862820
361	146002	862300
362	146424	862006
363	146812	861516
364	147218	861126
365	147624	860741
366	148027	860336
367	148415	859839
368	148824	859472
369	149200	858909
370	149596	858464
371	149979	857948
372	150390	857587
373	150756	856974
374	151152	856531
375	151537	856025
376	151931	855570
377	152316	855067
378	152718	854662
379	153122	854261
380	153478	853598
381	153857	853063
382	154279	852768
383	154667	852285
384	155088	851978
385	155465	851433
386	155870	851042
387	156275	850653
388	156681	850270
389	157071	849797
390	157469	849371
391	157841	848800
392	158242	848390
393	158662	848078
394	159089	847805
395	159513	847518
396	159923	847152
397	160323	846735
398	160729	846347
399	161135	845959
400	161540	845569
401	161945	845177
402	162363	844854
403	162754	844390
404	163173	844072
405	163563	843598
406	163997	843357
407	164377	842835
408	164807	842572
409	165205	842146
410	165567	841534
411	165980	841180
412	166374	840733
413	166733	840109
414	167134	839701
415	167524	839232
416	167913	838763
417	168311	838337
418	168713	837930
419	169133	837613
420	169518	837124
421	169942	836827
422	170320	836303
423	170707	835823
424	171115	835448
425	171505	834982
426	171910	834589
427	172285	834053
428	172665	833542
429	173030	832961
430	173430	832547
431	173845	832202
432	174255	831837
433	174621	831264
434	175046	830968
435	175434	830497
436	175855	830183
437	176269	829836
438	176663	829393
439	177071	829018
440	177482	828651
441	177894	828298
442	178302	827917
443	178723	827601
444	179119	827170
445	179519	826757
446	179921	826349
447	180321	825937
448	180708	825465
449	181113	825072
450	181514	824662
451	181921	824283
452	182308	823810
453	182707	823392
454	183093	822913
455	183481	822445
456	183875	822006
457	184277	821604
458	184682	821213
459	185089	820831
460	185507	820499
461	185898	820047
462	186285	819576
463	186675	819118
464	187066	818666
465	187498	818393
466	187882	817913
467	188275	817467
468	188647	816934
469	189051	816542
470	189418	815989
471	189792	815464
472	190204	815106
473	190596	814658
474	191002	814274
475	191424	813955
476	191818	813520
477	192262	813295
478	192675	812935
479	193073	812518
480	193482	812143
481	193872	811690
482	194248	811176
483	194619	810648
484	195006	810182
485	195406	809769
486	195800	809333
487	196243	809103
488	196679	808837
489	197095	808492
490	197513	808154
491	197877	807597
492	198280	807199
493	198681	806792
494	199098	806449
495	199509	806083
496	199888	805586
497	200328	805335
498	200740	804974
499	201117	804469
500	201490	803952
501	201904	803594
502	202301	803172
503	202701	802763
504	203062	802199
505	203449	801735
506	203847	801316
507	204230	800840
508	204650	800508
509	205061	800141
510	205464	799743
511	205838	799230
512	206243	798840
513	206658	798489
514	207031	797975
515	207431	797567
516	207821	797117
517	208227	796732
518	208607	796246
519	209014	795862
520	209387	795352
521	209768	794869
522	210188	794536
523	210581	794099
524	210980	793687
525	211361	793209
526	211766	792818
527	212159	792383
528	212551	791946
529	212929	791455
530	213309	790972
531	213713	790578
532	214139	790265
533	214532	789834
534	214917	789371
535	215312	788944
536	215742	788644
537	216145	788248
538	216532	787794
539	216920	787339
540	217321	786937
541	217701	786455
542	218092	786016
543	218476	785552
544	218877	785146
545	219300	784822
546	219742	784563
547	220141	784152
548	220531	783711
549	220922	783272
550	221330	782892
551	221729	782481
552	222111	782009
553	222510	781599
554	222954	781343
555	223359	780954
556	223732	780452
557	224146	780093
558	224549	779696
559	224961	779330
560	225369	778949
561	225769	778544
562	226190	778208
563	226552	777670
564	226962	777297
565	227351	776849
566	227788	776568
567	228198	776197
568	228598	775787
569	229010	775421
570	229392	774952
571	229772	774477
572	230159	774025
573	230550	773590
574	230949	773177
575	231378	772868
576	231749	772366
577	232162	772001
578	232528	771480
579	232913	771024
580	233302	770582
581	233670	770068
582	234095	769745
583	234504	769366
584	234882	768890
585	235308	768566
586	235718	768192
587	236130	767827
588	236480	767257
589	236867	766809
590	237243	766324
591	237670	766004
592	238055	765551
593	238477	765216
594	238846	764710
595	239227	764244
596	239618	763810
597	240002	763352
598	240395	762924
599	240785	762487
600	241168	762029
601	241536	761520
602	241945	761143
603	242347	760746
604	242760	760381
605	243164	759988
606	243585	759648
607	243987	759250
608	244388	758848
609	244793	758458
610	245200	758076
611	245644	757804
612	246070	757481
613	246500	757165
614	246931	756855
615	247326	756434
616	247746	756087
617	248153	755702
618	248549	755283
619	248940	754852
620	249326	754403
621	249746	754058
622	250164	753705
623	250560	753289
624	250957	752872
625	251349	752441
626	251760	752069
627	252150	751632
628	252583	751324
629	252980	750910
630	253366	750462
631	253754	750020
632	254175	749677
633	254587	749307
634	254954	748804
635	255357	748404
636	255761	748013
637	256170	747632
638	256579	747251
639	256970	746819
640	257360	746386
641	257747	745940
642	258152	745549
643	258552	745145
644	258946	744723
645	259342	744304
646	259719	743832
647	260134	743470
648	260527	743044
649	260924	742631
650	261312	742190
651	261682	741702
652	262107	741367
653	262511	740972
654	262943	740657
655	263341	740247
656	263770	739923
657	264141	739434
658	264543	739037
659	264983	738743
660	265414	738421
661	265807	737996
662	266183	737525
663	266570	737082
664	266970	736677
665	267369	736270
666	267770	735868
667	268181	735492
668	268612	735172
669	268992	734710
670	269406	734344
671	269797	733913
672	270204	733527
673	270587	733074
674	270963	732606
675	271337	732129
676	271707	731642
677	272090	731191
678	272488	730782
679	272898	730404
680	273299	730002
681	273644	729451
682	274040	729035
683	274418	728574
684	274440	727166
685	274841	726768
686	275216	726297
687	275599	725853
688	275981	725401
689	276371	724975
690	276749	724516
691	277145	724102
692	277535	723676
693	277908	723202
694	278295	722768
695	278692	722358
696	279076	721915
697	279493	721558
698	279904	721185
699	280308	720793
700	280684	720330
701	281101	719973
702	281475	719504
703	281884	719126
704	282287	718732
705	282695	718350
706	283086	717925
707	283480	717509
708	283882	717112
709	284259	716654
710	284667	716273
711	285029	715777
712	285439	715400
713	285854	715035
714	286243	714607
715	286608	714120
716	287003	713706
717	287435	713383
718	287821	712949
719	288196	712485
720	288624	712153
721	289009	711714
722	289422	711347
723	289832	710971
724	290254	710623
725	290663	710244
726	291035	709775
727	291439	709382
728	291838	708980
729	292254	708616
730	292674	708264
731	293073	707860
732	293485	707488
733	293888	707094
734	294305	706733
735	294697	706312
736	295074	705857
737	295500	705517
738	295891	705094
739	296277	704660
740	296694	704298
741	297116	703949
742	297503	703517
743	297897	703102
744	298304	702718
745	298679	702257
746	299095	701892
747	299510	701526
748	299901	701104
749	300307	700717
750	300713	700330
751	301095	699886
752	301477	699443
753	301929	699163
754	302317	698734
755	302746	698400
756	303149	698005
757	303553	697612
758	303931	697161
759	304340	696778
760	304755	696411
761	305171	696047
762	305581	695667
763	305976	695254
764	306388	694881
765	306776	694452
766	307173	694044
767	307569	693632
768	307973	693241
769	308359	692806
770	308760	692409
771	309165	692018
772	309579	691648
773	309958	691200
774	310395	690880
775	310776	690437
776	311139	689953
777	311543	689560
778	311960	689196
779	312347	688766
780	312747	688365
781	313116	687894
782	313525	687514
783	313921	687102
784	314362	686792
785	314749	686362
786	315147	685956
787	315540	685540
788	315931	685117
789	316346	684749
790	316740	684335
791	317158	683973
792	317534	683519
793	317940	683132
794	318340	682730
795	318727	682301
796	319119	681882
797	319510	681461
798	319902	681044
799	320276	680587
800	320683	680202
801	321068	679768
802	321456	679342
803	321852	678931
804	322267	678562
805	322658	678143
806	323059	677744
807	323471	677368
808	323866	676957
809	324296	676618
810	324709	676244
811	325079	675780
812	325471	675363
813	325904	675030
814	326303	674627
815	326707	674234
816	327134	673889
817	327539	673498
818	327936	673091
819	328324	672663
820	328731	672277
821	329160	671935
822	329582	671579
823	329995	671204
824	330378	670767
825	330786	670382
826	331169	669946
827	331529	669466
828	331958	669122
829	332358	668721
830	332772	668348
831	333203	668009
832	333586	667573
833	333967	667133
834	334389	666777
835	334791	666378
836	335209	666014
837	335607	665607
838	336004	665201
839	336418	664827
840	336834	664457
841	337205	663998
842	337601	663588
843	338019	663223
844	338432	662847
845	338859	662498
846	339277	662132
847	339669	661713
848	340043	661261
849	340444	660863
850	340827	660429
851	341202	659978
852	341615	659601
853	342011	659193
854	342455	658875
855	342853	658471
856	343291	658141
857	343677	657713
858	344049	657259
859	344454	656866
860	344869	656493
861	345294	656139
862	345694	655738
863	346096	655339
864	346472	654893
865	346878	654503
866	347280	654104
867	347693	653728
868	348043	653232
869	348464	652870
870	348871	652482
871	349283	652101
872	349673	651681
873	350089	651311
874	350467	650868
875	350880	650491
876	351285	650099
877	351713	649747
878	352095	649313
879	352499	648919
880	352903	648526
881	353309	648135
882	353701	647717
883	354058	647237
884	354488	646890
885	354844	646409
886	355229	645980
887	355617	645557
888	356045	645207
889	356457	644826
890	356880	644467
891	357283	644071
892	357687	643677
893	358062	643231
894	358489	642877
895	358885	642469
896	359242	641990
897	359606	641525
898	360030	641166
899	360410	640729
900	360821	640347
901	361252	640002
902	361687	639661
903	362082	639251
904	362517	638911
905	362929	638531
906	363313	638101
907	363717	637706
908	364134	637335
909	364511	636894
910	364916	636501
911	365285	636045
912	365699	635668
913	366095	635259
914	366496	634860
915	366883	634436
916	367262	633999
917	367642	633563
918	368022	633126
919	368414	632712
920	368794	632275
921	369179	631849
922	369551	631399
923	369988	631062
924	370396	630675
925	370789	630261
926	371172	629831
927	371566	629420
928	372000	629076
929	372376	628636
930	372785	628249
931	373196	627867
932	373617	627501
933	374009	627086
934	374403	626675
935	374800	626269
936	375201	625869
937	375630	625517
938	375992	625052
939	376369	624613
940	376783	624235
941	377218	623892
942	377601	623462
943	378016	623087
944	378454	622748
945	378852	622343
946	379254	621945
947	379659	621551
948	380056	621145
949	380390	620637
950	380770	620203
951	381152	619773
952	381541	619353
953	381916	618912
954	382290	618469
955	382641	617990
956	383034	617578
957	383441	617188
958	383836	616779
959	384250	616401
960	384634	615975
961	385022	615556
962	385404	615126
963	385825	614759
964	386240	614382
965	386633	613971
966	387045	613589
967	387449	613194
968	387865	612819
969	388272	612429
970	388655	612002
971	389035	611570
972	389370	611067
973	389782	610686
974	390143	610224
975	390536	609812
976	390939	609417
977	391358	609046
978	391750	608633
979	392156	608242
980	392552	607836
981	392949	607431
982	393364	607053
983	393740	606617
984	394145	606223
985	394566	605856
986	394934	605405
987	395390	605091
988	395799	604704
989	396187	604285
990	396607	603915
991	397037	603561
992	397435	603156
993	397836	602757
994	398273	602414
995	398695	602046
996	399112	601671
997	399506	601261
998	399888	600833
999	400276	600415
1000	400667	600000
1001	401052	599577
1002	401481	599220
1003	401902	598850
1004	402289	598430
1005	402644	597962
1006	403034	597547
1007	403419	597124
1008	403809	596709
1009	404238	596352
1010	404615	595917
1011	405009	595507
1012	405398	595090
1013	405740	594606
1014	406186	594272
1015	406628	593933
1016	406989	593476
1017	407375	593054
1018	407769	592646
1019	408188	592272
1020	408577	591856
1021	409015	591511
1022	409428	591130
1023	409795	590682
1024	410279	590402
1025	410665	589981
1026	411073	589592
1027	411499	589229
1028	411910	588843
1029	412295	588421
1030	412685	588007
1031	413106	587635
1032	413494	587217
1033	413887	586807
1034	414273	586386
1035	414695	586017
1036	415120	585652
1037	415533	585269
1038	415910	584836
1039	416327	584459
1040	416734	584068
1041	417112	583637
1042	417489	583204
1043	417891	582806
1044	418263	582366
1045	418645	581941
1046	419054	581552
1047	419446	581141
1048	419835	580725
1049	420250	580345
1050	420630	579917
1051	421036	579524
1052	421428	579113
1053	421828	578713
1054	422174	578239
1055	422584	577852
1056	422971	577433
1057	423381	577047
1058	423779	576643
1059	424207	576281
1060	424610	575884
1061	425021	575500
1062	425454	575144
1063	425878	574775
1064	426312	574420
1065	426686	573985
1066	427105	573609
1067	427505	573209
1068	427911	572816
1069	428352	572471
1070	428753	572071
1071	429109	571611
1072	429535	571245
1073	429945	570859
1074	430344	570456
1075	430715	570017
1076	431106	569604
1077	431497	569191
1078	431885	568776
1079	432280	568369
1080	432691	567982
1081	433063	567544
1082	433440	567114
1083	433855	566733
1084	434257	566336
1085	434622	565890
1086	435053	565530
1087	435462	565140
1088	435849	564723
1089	436254	564328
1090	436671	563950
1091	437042	563512
1092	437455	563129
1093	437816	562678
1094	438195	562251
1095	438591	561844
1096	438991	561445
1097	439388	561040
1098	439766	560612
1099	440209	560266
1100	440627	559889
1101	441019	559478
1102	441424	559083
1103	441800	558653
1104	442195	558247
1105	442622	557879
1106	443022	557479
1107	443413	557068
1108	443846	556709
1109	444232	556290
1110	444656	555920
1111	445063	555528
1112	445467	555133
1113	445827	554683
1114	446233	554289
1115	446648	553908
1116	447022	553474
1117	447406	553055
1118	447819	552671
1119	448174	552215
1120	448576	551816
1121	448974	551414
1122	449369	551007
1123	449725	550553
1124	450072	550089
1125	450468	549683
1126	450867	549281
1127	451203	548803
1128	451592	548390
1129	451984	547981
1130	452374	547569
1131	452747	547136
1132	453147	546737
1133	453539	546327
1134	453931	545917
1135	454304	545485
1136	454726	545111
1137	455145	544735
1138	455565	544358
1139	455919	543903
1140	456335	543523
1141	456750	543140
1142	457152	542743
1143	457575	542371
1144	457950	541940
1145	458340	541529
1146	458730	541117
1147	459141	540731
1148	459547	540338
1149	459908	539892
1150	460256	539431
1151	460643	539017
1152	461058	538634
1153	461461	538238
1154	461882	537863
1155	462299	537483
1156	462714	537100
1157	463094	536677
1158	463503	536288
1159	463895	535878
1160	464278	535460
1161	464692	535076
1162	465089	534672
1163	465507	534293
1164	465927	533916
1165	466319	533507
1166	466730	533120
1167	467138	532730
1168	467546	532339
1169	467904	531891
1170	468274	531457
1171	468655	531036
1172	469066	530648
1173	469455	530236
1174	469818	529795
1175	470221	529398
1176	470618	528996
1177	471006	528582
1178	471379	528152
1179	471400	527329
1180	471775	526902
1181	472190	526520
1182	472557	526084
1183	472959	525687
1184	473334	525261
1185	473760	524891
1186	474167	524500
1187	474570	524104
1188	474973	523709
1189	475328	523261
1190	475696	522826
1191	476082	522412
1192	476460	521990
1193	476879	521611
1194	477299	521234
1195	477677	520812
1196	478057	520391
1197	478482	520020
1198	478869	519607
1199	479273	519213
1200	479688	518830
1201	480088	518431
1202	480477	518020
1203	480892	517638
1204	481280	517227
1205	481664	516810
1206	482043	516390
1207	482433	515980
1208	482827	515575
1209	483194	515141
1210	483601	514749
1211	484011	514362
1212	484418	513971
1213	484812	513565
1214	485216	513171
1215	485576	512730
1216	485983	512338
1217	486393	511950
1218	486766	511524
1219	487141	511099
1220	487534	510693
1221	487951	510312
1222	488347	509909
1223	488720	509483
1224	489132	509096
1225	489154	508305
1226	489531	507883
1227	489867	507419
1228	490260	507014
1229	490665	506621
1230	491055	506214
1231	491449	505809
1232	491847	505410
1233	492231	504995
1234	492634	504601
1235	493023	504192
1236	493380	503750
1237	493758	503330
1238	494161	502935
1239	494558	502535
1240	494960	502139
1241	495362	501744
1242	495793	501377
1243	496195	500981
1244	496605	500594
1245	497017	500208
1246	497402	499795
1247	497827	499422
1248	498216	499014
1249	498609	498609
1250	499016	498218
1251	499406	497810
1252	499816	497422
1253	500206	497015
1254	500617	496628
1255	501032	496245
1256	501397	495813
1257	501763	495382
1258	502150	494971
1259	502544	494568
1260	502953	494179
1261	502982	493416
1262	503424	493061
1263	503807	492646
1264	504209	492251
1265	504605	491851
1266	505026	491474
1267	505429	491080
1268	505785	490639
1269	506196	490252
1270	506580	489840
1271	506973	489437
1272	507380	489046
1273	507808	488676
1274	508222	488291
1275	508623	487895
1276	509022	487497
1277	509434	487111
1278	509844	486724
1279	510221	486305
1280	510616	485903
1281	511051	485539
1282	511421	485112
1283	511841	484734
1284	512241	484337
1285	512646	483944
1286	513062	483562
1287	513444	483148
1288	513841	482747
1289	514229	482339
1290	514639	481951
1291	515042	481556
1292	515440	481157
1293	515834	480754
1294	516258	480379
1295	516638	479963
1296	517048	479575
1297	517469	479197
1298	517861	478792
1299	518289	478420
1300	518681	478016
1301	519069	477607
1302	519448	477190
1303	519845	476791
1304	520205	476357
1305	520597	475952
1306	520999	475556
1307	521390	475150
1308	521816	474777
1309	522206	474370
1310	522613	473979
1311	523030	473597
1312	523411	473182
1313	523815	472789
1314	524240	472414
1315	524618	471997
1316	525029	471609
1317	525425	471208
1318	525800	470788
1319	526206	470396
1320	526577	469973
1321	526959	469559
1322	527372	469174
1323	527776	468780
1324	528189	468394
1325	528584	467992
1326	529002	467611
1327	529354	467171
1328	529746	466767
1329	530148	466371
1330	530546	465972
1331	530926	465557
1332	531327	465160
1333	531741	464775
1334	532156	464391
1335	532544	463983
1336	532976	463614
1337	533376	463216
1338	533739	462787
1339	534126	462378
1340	534489	461948
1341	534879	461542
1342	535298	461161
1343	535320	460439
1344	535713	460036
1345	536093	459622
1346	536499	459230
1347	536841	458784
1348	537234	458381
1349	537632	457983
1350	538027	457582
1351	538440	457196
1352	538810	456774
1353	539216	456382
1354	539633	456000
1355	540022	455594
1356	540405	455182
1357	540815	454794
1358	541208	454392
1359	541567	453960
1360	541939	453541
1361	542301	453112
1362	542654	452676
1363	543032	452261
1364	543469	451895
1365	543885	451512
1366	544264	451098
1367	544640	450682
1368	545042	450286
1369	545486	449926
1370	545884	449528
1371	546263	449114
1372	546679	448731
1373	547090	448343
1374	547507	447960
1375	547925	447578
1376	548313	447172
1377	548696	446761
1378	549124	446387
1379	549544	446007
1380	549932	445600
1381	550324	445197
1382	550750	444821
1383	551153	444426
1384	551556	444032
1385	551941	443623
1386	552335	443222
1387	552730	442821
1388	553143	442435
1389	553574	442063
1390	553940	441639
1391	554331	441234
1392	554746	440850
1393	555153	440458
1394	555515	440031
1395	555925	439643
1396	556343	439260
1397	556758	438875
1398	557142	438466
1399	557533	438062
1400	557943	437673
1401	558356	437286
1402	558770	436900
1403	559193	436521
1404	559604	436133
1405	560017	435746
1406	560441	435367
1407	560840	434969
1408	561257	434586
1409	561643	434178
1410	562037	433776
1411	562438	433380
1412	562849	432991
1413	563231	432580
1414	563656	432202
1415	564042	431795
1416	564473	431421
1417	564899	431044
1418	565314	430659
1419	565680	430235
1420	566053	429817
1421	566462	429427
1422	566877	429041
1423	567268	428638
1424	567290	427955
1425	567701	427567
1426	568128	427190
1427	568504	426776
1428	568916	426389
1429	569314	425990
1430	569723	425600
1431	570148	425222
1432	570539	424818
1433	570950	424430
1434	571360	424040
1435	571754	423639
1436	572122	423219
1437	572553	422845
1438	572943	422441
1439	573343	422044
1440	573739	421644
1441	574177	421275
1442	574574	420877
1443	574995	420495
1444	575385	420091
1445	575789	419697
1446	576208	419314
1447	576611	418919
1448	577006	418519
1449	577385	418106
1450	577791	417714
1451	578172	417303
1452	578566	416902
1453	578956	416498
1454	579349	416096
1455	579761	415708
1456	580115	415278
1457	580547	414904
1458	580922	414489
1459	581331	414099
1460	581689	413672
1461	582062	413256
1462	582452	412852
1463	582842	412448
1464	583258	412063
1465	583635	411650
1466	584043	411258
1467	584453	410869
1468	584866	410481
1469	585285	410097
1470	585670	409690
1471	586071	409294
1472	586497	408915
1473	586897	408519
1474	587289	408116
1475	587693	407722
1476	588088	407321
1477	588497	406931
1478	588892	406530
1479	589252	406106
1480	589662	405716
1481	590049	405310
1482	590452	404915
1483	590848	404516
1484	591233	404109
1485	591608	403695
1486	592011	403300
1487	592408	402901
1488	592824	402515
1489	593220	402115
1490	593604	401708
1491	594004	401311
1492	594424	400927
1493	594812	400523
1494	595192	400112
1495	595574	399703
1496	595982	399312
1497	596341	398888
1498	596713	398472
1499	597110	398073
1500	597530	397690
1501	597936	397297
1502	598328	396895
1503	598713	396488
1504	599108	396088
1505	599530	395705
1506	599949	395322
1507	600368	394937
1508	600776	394545
1509	601165	394141
1510	601578	393753
1511	601962	393345
1512	602364	392949
1513	602733	392533
1514	603142	392142
1515	603531	391738
1516	603929	391339
1517	604315	390933
1518	604708	390532
1519	605105	390133
1520	605492	389728
1521	605847	389302
1522	606242	388902
1523	606661	388518
1524	607049	388113
1525	607472	387731
1526	607868	387332
1527	608288	386947
1528	608695	386555
1529	609112	386169
1530	609495	385761
1531	609894	385364
1532	610315	384980
1533	610731	384593
1534	611118	384188
1535	611140	383554
1536	611561	383170
1537	611977	382784
1538	612345	382368
1539	612723	381957
1540	613152	381579
1541	613560	381187
1542	613967	380795
1543	614363	380396
1544	614760	379997
1545	615122	379577
1546	615555	379201
1547	615957	378805
1548	616293	378369
1549	616679	377965
1550	617095	377578
1551	617512	377191
1552	617937	376810
1553	618351	376422
1554	618769	376036
1555	619172	375641
1556	619543	375227
1557	619570	374605
1558	619975	374212
1559	620406	373834
1560	620819	373446
1561	621224	373052
1562	621627	372658
1563	622013	372253
1564	622357	371823
1565	622737	371415
1566	622759	370793
1567	623159	370398
1568	623558	370001
1569	623959	369606
1570	624374	369219
1571	624760	368815
1572	625165	368422
1573	625561	368023
1574	625968	367632
1575	626371	367237
1576	626791	366853
1577	627170	366445
1578	627587	366059
1579	628002	365672
1580	628374	365260
1581	628791	364874
1582	629193	364479
1583	629622	364099
1584	630007	363695
1585	630412	363301
1586	630822	362912
1587	631231	362521
1588	631654	362138
1589	632076	361754
1590	632487	361364
1591	632886	360967
1592	633277	360566
1593	633691	360178
1594	634119	359798
1595	634507	359395
1596	634924	359008
1597	635311	358605
1598	635719	358213
1599	636135	357826
1600	636536	357430
1601	636924	357027
1602	637310	356623
1603	637704	356224
1604	638118	355835
1605	638500	355429
1606	638916	355041
1607	639315	354645
1608	639728	354256
1609	640113	353851
1610	640548	353474
1611	640952	353080
1612	641336	352675
1613	641744	352283
1614	642141	351885
1615	642559	351498
1616	642950	351098
1617	643358	350706
1618	643752	350306
1619	644113	349888
1620	644513	349492
1621	644934	349107
1622	645339	348714
1623	645717	348305
1624	646119	347910
1625	646512	347510
1626	646875	347094
1627	647280	346700
1628	647655	346290
1629	648038	345885
1630	648441	345490
1631	648879	345114
1632	649278	344717
1633	649631	344296
1634	650025	343897
1635	650414	343495
1636	650806	343094
1637	651181	342685
1638	651570	342283
1639	651947	341874
1640	652353	341482
1641	652757	341087
1642	653158	340691
1643	653572	340303
1644	653941	339890
1645	654329	339487
1646	654731	339092
1647	655132	338697
1648	655534	338301
1649	655917	337897
1650	655937	337305
1651	656336	336909
1652	656678	336483
1653	657090	336093
1654	657493	335698
1655	657862	335287
1656	658227	334873
1657	658636	334482
1658	659006	334071
1659	659404	333674
1660	659840	333296
1661	660251	332906
