iter	AUC	Logloss
0	0.7242658436	0.6895412614
1	0.7327744961	0.6860459749
2	0.7333521545	0.6825930939
3	0.7344367802	0.6792186286
4	0.7368995845	0.6761978212
5	0.737359792	0.6730606418
6	0.738664031	0.670270493
7	0.7417313755	0.6675313699
8	0.7435072362	0.6647149899
9	0.7449412644	0.6622295126
10	0.7446454465	0.6597416716
11	0.7443337142	0.6571459861
12	0.7443624735	0.6548189156
13	0.744651407	0.6524930965
14	0.7444723845	0.6502934745
15	0.7448638082	0.6482322848
16	0.7453917861	0.6461699827
17	0.7460537553	0.6441510596
18	0.7461732626	0.6422714955
19	0.7461726964	0.6405480211
20	0.7464761734	0.6388254273
21	0.7464412451	0.6369544834
22	0.7464517355	0.635271051
23	0.747448802	0.6335358977
24	0.7478860021	0.6319616539
25	0.7478901744	0.6304883956
26	0.7481278181	0.6290252869
27	0.7486900687	0.6276157529
28	0.7493183613	0.6260792338
29	0.7497560978	0.6246869865
30	0.7498470545	0.6233611514
31	0.7502222061	0.6220699359
32	0.7503590584	0.6206433007
33	0.750648737	0.6194489461
34	0.7511347532	0.6184575822
35	0.7513046265	0.6173142997
36	0.7515074611	0.6161835766
37	0.7519831061	0.615169272
38	0.7521713972	0.6140029097
39	0.7525448203	0.6129864269
40	0.7531249523	0.6119787032
41	0.7535486221	0.6109846977
42	0.7540264726	0.6100996026
43	0.7555659413	0.608530225
44	0.7555928528	0.6075632386
45	0.7557992339	0.6065286812
46	0.7561273575	0.6056797352
47	0.7562358975	0.6047431046
48	0.7565638423	0.6039770697
49	0.7570288181	0.6032983021
50	0.7574538589	0.6025206346
51	0.7587822676	0.6011886356
52	0.7589966655	0.6004931376
53	0.7591930628	0.5997072207
54	0.7594746947	0.598975759
55	0.7596776485	0.5983070484
56	0.759768188	0.5976780553
57	0.7599531412	0.5970219968
58	0.7601354718	0.5963679311
59	0.7612913847	0.5952400814
60	0.7623598576	0.5942634089
61	0.763384819	0.5932294077
62	0.7635403275	0.5925387295
63	0.7636792958	0.5919108024
64	0.7637498379	0.5914188048
65	0.7648456991	0.5903005486
66	0.7650570869	0.5897317112
67	0.7652312517	0.5890936809
68	0.7655228972	0.5885061665
69	0.7657443285	0.5879762588
70	0.7660579085	0.5875179077
71	0.7672255337	0.586371381
72	0.7673063874	0.5858368389
73	0.7675704956	0.5853255155
74	0.7677147985	0.5848698987
75	0.7679620385	0.5844105744
76	0.7688164115	0.5834730169
77	0.7691074908	0.5830125339
78	0.7692491412	0.5825193314
79	0.7696999907	0.5818547454
80	0.770589292	0.5809041187
81	0.771328181	0.5800940561
82	0.7720454931	0.5791896352
83	0.7727691531	0.578323866
84	0.773096025	0.5779408717
85	0.773203671	0.5775108373
86	0.7738721371	0.5767187101
87	0.7740039825	0.5763757115
88	0.7742916346	0.5760018935
89	0.7748997808	0.5753297533
90	0.7754608393	0.5747833005
91	0.7755969763	0.5744464194
92	0.775729835	0.5740949859
93	0.7762907147	0.5733474889
94	0.7768852711	0.572629699
95	0.7774714828	0.5719120018
96	0.7778627872	0.5714505455
97	0.7781499624	0.5711165841
98	0.7783644795	0.5707933284
99	0.7787388563	0.5703478612
100	0.7791312337	0.5698939591
101	0.7792392969	0.5696395256
102	0.7797089517	0.5691427082
103	0.7797782421	0.5688613019
104	0.7803080678	0.5681976892
105	0.7804682851	0.5677671914
106	0.7806171179	0.5675143336
107	0.7810414433	0.5670655758
108	0.7811228633	0.5668006683
109	0.7815548182	0.5661992505
110	0.7819487453	0.5655919932
111	0.7823563218	0.5650696861
112	0.7826071978	0.5648068641
113	0.7829251885	0.5643480959
114	0.7833100557	0.5639074485
115	0.7836887836	0.5634454824
116	0.7838254273	0.5632338253
117	0.7840807438	0.5628542141
118	0.7844116688	0.5623894211
119	0.7847768664	0.5619135979
120	0.7849119306	0.5617095876
121	0.7852951586	0.5612561954
122	0.785476923	0.5608948441
123	0.7855849266	0.560708584
124	0.7857171297	0.5604808914
125	0.7860587835	0.5599937601
126	0.7863405943	0.5596119708
127	0.7865623832	0.5592853319
128	0.7867656946	0.5590498997
129	0.7870672941	0.558647626
130	0.7872393131	0.5584036664
131	0.7874289751	0.558099134
132	0.7876523137	0.5576471784
133	0.78791219	0.5573413484
134	0.7880775332	0.5571392846
135	0.7883241773	0.5567275565
136	0.7884411216	0.5565463015
137	0.7886594534	0.5563382592
138	0.7889022231	0.5559577212
139	0.7891952395	0.5555888158
140	0.7893418968	0.5553987089
141	0.7895311415	0.5551031211
142	0.7896707654	0.5549293277
143	0.7899057269	0.5545289541
144	0.7901331186	0.5542491235
145	0.7903327942	0.5540245361
146	0.7904005051	0.5538181159
147	0.7906585336	0.5535404172
148	0.7909176946	0.5531986699
149	0.7910216451	0.5530169051
150	0.7911918163	0.5528328695
151	0.7913640141	0.5526427164
152	0.791592896	0.5523778089
153	0.7917258441	0.5522068425
154	0.7919186354	0.5518877115
155	0.7920936942	0.5516178451
156	0.7922906876	0.5512725292
157	0.7924838662	0.5510305161
158	0.7927727103	0.5507061944
159	0.7929427326	0.5505077919
160	0.793102026	0.5503120773
161	0.7932215333	0.550162615
162	0.7933510542	0.5499898875
163	0.793544054	0.549823602
164	0.7937699556	0.5495590653
165	0.7939370275	0.5493046781
166	0.794105351	0.549091955
167	0.7942708135	0.5489224716
168	0.7944902182	0.5487371847
169	0.7946239114	0.5485126436
170	0.7948353887	0.5482341107
171	0.7950279713	0.5479954808
172	0.795288384	0.5476828381
173	0.7954887748	0.547363429
174	0.7956341505	0.5471790226
175	0.7957912683	0.5469637042
176	0.7960117459	0.5466569936
177	0.7961993217	0.5464695284
178	0.796423018	0.5462313619
179	0.7965134978	0.5461137849
180	0.7966403961	0.5459668252
181	0.7968506217	0.545652514
182	0.7970694304	0.545413467
183	0.7972429395	0.5451480034
184	0.7974545956	0.5449499253
185	0.7976255417	0.5447797931
186	0.7978240848	0.544549876
187	0.7978759706	0.544440363
188	0.7980262637	0.5442877956
189	0.7982798815	0.5440707624
190	0.798407048	0.5439351108
191	0.7985963225	0.5436728913
192	0.7987041473	0.5435409937
193	0.7988792658	0.5432687174
194	0.7990625501	0.5430608605
195	0.7992508411	0.542874832
196	0.7993659675	0.5427314872
197	0.7995724082	0.5425429098
198	0.7996993065	0.542403458
199	0.7999458313	0.542165894
200	0.8000873327	0.5420086457
201	0.8002568483	0.5417528218
202	0.8004447818	0.5415764795
203	0.8005150259	0.5414527849
204	0.8006927967	0.5412131818
205	0.8007965088	0.5410981537
206	0.8009255528	0.5409606947
207	0.8010872006	0.5407921846
208	0.8012260199	0.540640405
209	0.8013623655	0.5404890426
210	0.8015222549	0.5402352579
211	0.8016068339	0.5400566909
212	0.801751256	0.5398951326
213	0.8018642366	0.5396590516
214	0.802046895	0.5394263075
215	0.8021489382	0.5393070621
216	0.8022537231	0.5391455501
217	0.8023512065	0.5390158307
218	0.8024823666	0.5388809207
219	0.8026501536	0.5386819156
220	0.8027997017	0.5384446297
221	0.8029105067	0.5383128248
222	0.8031321168	0.5381112708
223	0.803207159	0.5380115365
224	0.8033567965	0.5378616571
225	0.803481698	0.5377322621
226	0.803661406	0.5375606006
227	0.8038791418	0.5373137676
228	0.8039745688	0.537215331
229	0.8041370511	0.5370037202
230	0.8042461872	0.5368617194
231	0.8044294119	0.5366381979
232	0.804500103	0.5365506524
233	0.804579854	0.53635174
234	0.8047406971	0.5361655262
235	0.8049011528	0.5359344505
236	0.8050337434	0.5357938401
237	0.8051828146	0.5355742115
238	0.8053611517	0.5354180756
239	0.8054609895	0.535325015
240	0.8055457473	0.5352200901
241	0.8056660891	0.5350692374
242	0.805835247	0.5348643003
243	0.8059735894	0.5347104815
244	0.8060482144	0.5345744592
245	0.8061860204	0.5344528038
246	0.8062741756	0.5343577041
247	0.8063739538	0.5342102346
248	0.8065068722	0.5340731464
249	0.8066399097	0.5339536692
250	0.8067442179	0.5338477247
251	0.807017386	0.5336216079
252	0.8071703315	0.5334239469
253	0.8073043227	0.5333068333
254	0.8074358106	0.5331715989
255	0.8075596392	0.5330517973
256	0.8077079058	0.5329158213
257	0.8078039289	0.5327456892
258	0.8079859018	0.5325785694
259	0.8081018329	0.5324623364
260	0.8082630634	0.5323093519
261	0.8083878756	0.5321371342
262	0.8084528446	0.5319773833
263	0.8085460067	0.5318781589
264	0.8086340427	0.5316832322
265	0.808699429	0.5315943427
266	0.8088446856	0.5313969597
267	0.8090074658	0.5312020794
268	0.8091258407	0.531092381
269	0.8092920184	0.5309418991
270	0.8094218373	0.5307981372
271	0.809566915	0.5306259658
272	0.8097081184	0.5304930486
273	0.8099128604	0.5302873236
274	0.810082376	0.5301280825
275	0.8102715015	0.529926065
276	0.8103778958	0.5298328191
277	0.8104667068	0.5296672287
278	0.8105795681	0.5295248572
279	0.8107340336	0.5293806318
280	0.8108077049	0.5292954035
281	0.8108661175	0.5292265814
282	0.8109400272	0.5290591372
283	0.8110564351	0.5288896539
284	0.8111506701	0.5287142848
285	0.8113339841	0.5285265415
286	0.8114626408	0.5283899168
287	0.8115547299	0.5282729886
288	0.811619103	0.5282049079
289	0.8117756248	0.5280057175
290	0.8119133115	0.5278208013
291	0.8120990992	0.5276513643
292	0.8122050464	0.5275282722
293	0.8123610616	0.5273941501
294	0.8124762774	0.527289874
295	0.8126279116	0.5271313745
296	0.8127673864	0.526964023
297	0.812856555	0.5268790728
298	0.8129830956	0.5267320667
299	0.813051343	0.5266018839
300	0.8131060004	0.5264950589
301	0.8132214546	0.5263518995
302	0.8134789467	0.5261068276
303	0.813644886	0.5259393835
304	0.8137598038	0.5258262555
305	0.8139083087	0.5256776274
306	0.813978523	0.5255989338
307	0.8140611947	0.5255234843
308	0.8141306639	0.525455867
309	0.8142720461	0.5253304577
310	0.8144069314	0.5251979113
311	0.8145324588	0.5250316258
312	0.8147022128	0.5248805877
313	0.8148059845	0.5247777484
314	0.8148942292	0.5246905736
315	0.8149944544	0.5245445871
316	0.8151009381	0.5244382256
317	0.8151924014	0.524359671
318	0.8152985275	0.5242155383
319	0.8154191375	0.5240775695
320	0.8155235052	0.5239534578
321	0.8156378269	0.5238441766
322	0.8157311976	0.523683128
323	0.8159223199	0.5235053026
324	0.8160478473	0.5233918966
325	0.8161119819	0.5233189961
326	0.816177249	0.523186496
327	0.8163439631	0.5230227594
328	0.8164554238	0.522910234
329	0.8166157603	0.5227163269
330	0.8167202473	0.522618122
331	0.8167950809	0.5225182488
332	0.816893667	0.5224226392
333	0.8170887232	0.522221456
334	0.8171913922	0.5221274685
335	0.8173034489	0.5220209679
336	0.8173747063	0.5219326345
337	0.8175027966	0.5218183016
338	0.8176183105	0.5217181503
339	0.8177645206	0.5215868088
340	0.8178189397	0.5214768324
341	0.8179251552	0.5213825668
342	0.8180071712	0.521303178
343	0.8181219697	0.5211595551
344	0.8182222843	0.5209994335
345	0.8183220625	0.5208720313
346	0.818457067	0.5207405508
347	0.8185945153	0.5206050847
348	0.8188104928	0.5204179903
349	0.8189836144	0.5202705208
350	0.8190730214	0.5201505338
351	0.8191785216	0.5200278125
352	0.8192234635	0.5199770185
353	0.8193342686	0.5198639833
354	0.8194325566	0.5197280536
355	0.8195680976	0.5196112181
356	0.8196821809	0.5194948461
357	0.8197384477	0.5193551625
358	0.819881916	0.5192245626
359	0.8199365139	0.5191686243
360	0.8200513721	0.5190484519
361	0.8201132417	0.5189782394
362	0.8202962875	0.5187701044
363	0.8203827739	0.5186763487
364	0.8204652071	0.5185882007
365	0.820555985	0.5184716896
366	0.8206856251	0.5183206515
367	0.8207859397	0.5181877807
368	0.8208804727	0.5180976862
369	0.8209578395	0.5180156557
370	0.8210269809	0.5179092014
371	0.821088016	0.5178475627
372	0.8212029934	0.5177253975
373	0.8212449551	0.5176705252
374	0.8213211894	0.5175950293
375	0.82138592	0.5174706859
376	0.8214869499	0.5173732689
377	0.8215421438	0.5173122327
378	0.8216461539	0.5172096251
379	0.8217532635	0.5170750858
380	0.8218153119	0.5170231795
381	0.8219089508	0.516944903
382	0.8220231831	0.5168138859
383	0.8221043348	0.5167386218
384	0.8222121	0.5166258646
385	0.8222923279	0.516547171
386	0.8224570155	0.5163917301
387	0.822565794	0.5162847661
388	0.8227146864	0.5161581055
389	0.822776258	0.5160835365
390	0.8228475451	0.5159530756
391	0.8228963614	0.5159047842
392	0.8230298162	0.5157795139
393	0.8231732249	0.5156543363
394	0.8232910633	0.5155391229
395	0.8234686852	0.5153714934
396	0.8235949278	0.5152534992
397	0.8236814141	0.5151734616
398	0.8237550259	0.5151113131
399	0.8238021731	0.5150474498
400	0.8238939643	0.5149587456
401	0.8240185976	0.5148051586
402	0.8241670132	0.5146736781
403	0.8242732584	0.5145611063
404	0.8243846297	0.5144159541
405	0.8244840503	0.5142924449
406	0.8246060312	0.514171392
407	0.8246622384	0.5141075287
408	0.8247971535	0.5139854562
409	0.8248760104	0.5139043526
410	0.8249218464	0.5138530488
